passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,dropoff
28188,6374.004800,127661.260017803,419639.01,9835.16993570328,462405.441827545,16292,BX35
31963,8596.977084,260423.499981247,750364.930000305,15243.0499074459,823523.023681164,18164,BX62
28922,7004.666397,186881.859959681,559923.919999847,15305.8099847212,635191.981832752,15854,BX99
430664,142348.393534,4109346.90034531,16548742.9501528,2458695.27860399,21193889.6968389,241543,EWR
642233,102612.184035,1977611.97039985,6854095.66000248,96521.2593200635,7949686.47684504,376815,MN04
10726006,1240213.630622,14129768.7863498,66671288.7800285,973525.613020768,79768081.4159811,6192468,MN15
11359166,1182140.148993,15025686.386441,68021740.5900208,642246.135788485,81670646.7992536,6745357,MN31
8529004,878840.044148,12995458.1587858,53683787.7300076,749997.575221667,65112828.0574276,5025347,MN32
20402,4639.938165,110746.620045068,341541.560001373,5841.17995977402,374487.041214943,11978,QN08
9988,2660.888311,70277.0900294781,210501.5,2926.38998151757,229565.680781603,5744,QN15
116078,23631.793941,502001.010273432,1632270.12999916,75956.949574586,1914104.70727873,67304,QN18
39492,9211.762342,185223.550078079,601084,19265.4398844335,683039.782818556,22443,QN19
472434,86723.085529,1648333.81040225,5614016.04000275,178581.239040142,6468679.62722056,270557,QN28
70996,14891.539254,368586.709987998,1135859.04000092,39363.6197432019,1300905.83717942,40299,QN35
13031,3439.996273,103842.949983619,301934.309864998,6993.28995323181,337597.631541729,7481,QN44
36625,8954.543725,217664.720032191,665453,23904.149851799,759398.174021244,21116,QN51
21800,5234.828099,119051.630025242,373651.160003662,11812.5999110211,423127.842327118,12546,QN56
835256,146021.034531,2409530.92040806,8705399.68000175,10664.2098955922,10292170.6851947,493413,BK09
33446,10745.678637,261270.890043918,785688,18012.6599122081,885840.653018475,19148,BK44
24610,7185.934948,173090.739991592,523898.550000001,18378.5099100061,602804.692779351,14810,BK46
563351,97249.161551,1500799.60030925,5661478.69999842,4177.46997471899,6687669.78264908,330354,BK68
47019,12669.131467,255212.840057857,819333.61000061,6260.30996276811,887708.061473846,27472,BK82
33969,10340.702678,188745.270035304,626701.939998627,1991.61998949945,678133.200232267,20189,BK96
17227,4554.211424,126677.380070288,371816.5,10193.2299420834,411302.112417221,9938,BX07
32710,7563.208296,195956.370022772,589498.96999836,21651.3598444462,657751.01431036,18750,BX09
82673,20818.048324,585800.48009428,1726103.25999832,116663.571545113,2088456.02571869,48101,BX22
41760,10369.642049,280208.470044849,834606.330001831,21065.8198971748,932526.684762478,24261,BX28
28240,6617.601380,166939.729988812,509411,11202.8299338706,561703.322708607,16410,BX30
42745,9511.731226,222193.160020318,693833.73000145,16048.919895649,763746.32399559,24842,BX41
2235512,807621.177843,20901651.7017439,62156866.7903268,4344045.43925913,74702532.1000127,1260702,JFK
2922944,343072.382685,5500223.27994911,21343384.6600101,311267.018288488,25431821.4426651,1715722,MN09
14146335,1443954.889795,20376871.8948658,86648135.5400383,1118313.2626468,104329474.702565,8274203,MN12
10605110,1119018.118638,13557695.4449548,62551737.5700255,630331.965782162,75312178.5167736,6223648,MN14
13501065,1393957.494935,16342265.1163584,78497052.2200397,1387459.20159892,95420642.1489962,7965157,MN20
478976,94512.372012,2268850.30076893,7112240.31001045,109687.759317616,8228884.72115781,279310,MN35
19066713,1864717.591210,21445116.7057848,104399230.860041,732716.515301779,124230557.04747,11261782,MN40
1245967,132188.871152,1824285.31917324,7871562.13999832,105965.469272472,9671327.8500582,745186,MN50
307255,81184.312684,1725021.08017067,11163371.7602484,1137834.67939198,13732930.8709957,215159,NJ
62677,23041.094125,779461.739924729,2818619.05021244,105413.749662831,3293047.360338,39053,NYS
77964,15157.950162,281926.66010583,956378.5,17354.6698842235,1040089.35316706,43382,QN26
1594654,245706.187781,4131815.70037087,15082890.2399999,567991.62651787,18056735.4284171,942820,QN31
46863,10273.530821,259039.640075706,789270.440000534,31843.1598067284,910888.185134411,27258,QN38
12430,2446.452483,66658.0899921972,198877.75,2993.99998855591,218621.080552578,7274,QN66
1466387,235658.412248,4053582.92033398,14490230.5600015,110774.349224448,16903606.6518565,863158,QN70
689977,120348.867506,2250114.21013644,7704957.81000437,167815.87904416,9079215.26364674,402948,QN72
60102,21482.431419,650576.239905577,1844850.19001381,370313.9062315,2471719.23009007,34685,SI00
40778,12431.498676,315605.0101192,940050.700000383,25545.5898721889,1058219.3143445,23361,BK25
