passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
199,47.820510,1224.76999807358,3703,0,3971.77000045776,113,QN68,QN54
8,4.168886,122.990000724792,350.5,0,363.5,8,BK64,QN66
319,45.609920,772.079998314381,2844,0,3065.30000209808,187,QN22,QN29
922,334.725373,7964.24001067877,24130.3300018311,1877.88998508453,29250.8603134155,501,MN13,QN57
4,2.164720,29.6800003051758,109,5.32999992370605,128.730003356934,3,BX30,QN31
1,0.500000,14,40.5,0,44.5,1,MN30,BX13
1,0.433333,21.4599990844727,56,0,56.5,1,QN02,BK40
8,2.972221,79.4600009918213,238.5,2.44000005722046,251.540002822876,5,NYS,MN36
17,4.222771,56.0800001621246,197,0,216,12,BX37,BX13
4,1.815277,54.7900009155273,155,4.80000019073486,182.500003814697,3,BK64,BX17
437,84.300459,1809.0200009644,5965,1173.85999107361,8053.95002365112,257,MN36,QN71
52,12.667768,189.219998836517,682.5,0,759.430000305176,26,BK09,BK83
7,1.515831,51.0200004577637,145,15.9899997711182,184.860000610352,4,BX13,LGA
1,0.690000,26.5,71,5.32999992370605,77.3300018310547,1,BX09,BK58
616,139.008496,3058.42000168562,9497,0,10891.6699848175,326,QN28,BK38
10,1.152499,30.1999998092651,90.5,0,100.900001525879,3,QN54,BK68
6,0.450000,17.4500007629395,47.5,0,48.5,1,QN37,BK88
17,4.892775,123.659999847412,391,26.1199998855591,429.620006561279,8,MN03,BK85
1,0.200000,5.88000011444092,18,0,19,1,QN41,QN49
3,0.866943,30.7800006866455,86,10.6599998474121,104.820003509521,3,BX41,QN49
6447,674.946569,6610.89999362081,34192.5,10.6599998474121,40273.5499978065,3351,MN99,MN15
107,8.812481,105.450000107288,500,0,581.299999237061,54,BK41,BK95
67,4.038042,59.8000003024936,523,0,588.699999809265,36,QN19,QN97
45,11.738047,359.070000648499,1039.5,84.7499990463257,1183.01002883911,21,MN34,QN02
11,2.408053,42.3500008583069,155.5,15.460000038147,184.460000991821,5,MN98,BX41
6,1.749999,36.2299995422363,114,15.9899997711182,135.990005493164,4,QN22,MN99
19,1.361387,32.4500002861023,102,0,113.60000038147,5,QN76,QN38
441,127.963785,2770.20999991894,8712,120.469999313354,10131.9800167084,253,MN03,BK73
13,1.705277,37.1099991798401,120,0,134.91999912262,5,BX31,MN15
64,24.430819,481.649998664856,1534,26.6499996185303,1700.42000579834,32,MN09,BK95
19,3.115551,56.4999990463257,201.5,21.3199996948242,238.720007896423,12,QN97,MN13
8,3.096942,70.1000003814697,212.5,13.7999999523163,232.799999237061,7,BK42,QN10
1,0.402222,5.30000019073486,20,0,21,1,BK85,BK40
1038,298.823655,6959.30998778343,21541,633.17999458313,24434.7001285553,613,MN31,QN37
350,58.338540,893.570002257824,3321.5,26.1199998855591,3842.0100069046,196,MN99,QN70
69,12.862205,191.850001573563,714.5,0,796.770000457764,45,BK77,BK82
15,1.308886,23.7900000214577,94.5,5.32999992370605,112.450000762939,9,QN02,QN66
27,5.436384,122.219999313354,381.5,0,437.349999427795,16,BX34,MN28
1,0.835000,21.8999996185303,62.5,0,63.5,1,BK41,BX05
3374,1165.287823,25053.4799798205,77900.5,4756.66997814178,93209.6507940292,2009,MN17,BK46
2,0.783333,26.8700008392334,74,0,75,1,BK81,BX39
3,0.494998,10.5,36.5,10.6599998474121,52.6599998474121,3,BX14,MN98
2,0.686110,19.2200002670288,57.5,0,59.5,2,QN21,QN48
34,6.662210,102.910000562668,394,0,437.750000953674,27,BK92,BK81
8,2.628886,40.4800001382828,182.5,10.6599998474121,222.780006408691,6,QN56,MN22
10,2.749996,69.7400016784668,213.5,0,242.25,9,QN60,QN05
1,0.371111,15.5,41.5,0,42,1,QN60,BK23
31,5.785826,99.3700001239777,356.5,0,394.980000495911,16,BX30,MN12
510,115.141299,2260.54000544548,7398.5,683.329992294312,9322.55011844635,259,BK40,MN17
