passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup
1454,231.860158,5784.91000288911,24869.2800042722,851.119996089488,28947.7000775337,974,BX52
20953,3008.331014,50101.669989489,192600.180000076,4212.56996774673,220651.620434055,12499,BX63
26343635,2977287.671077,35337783.7300558,164557366.670085,1897893.34003497,198991420.727265,15435183,MN13
19934999,2261821.090945,28315852.0936203,128957702.199989,2167333.65683212,155353463.004915,11770847,MN19
7742079,840828.598440,10172782.5780627,47401533.6100116,598627.166311476,57533160.3373668,4552659,MN21
2000063,241864.239019,3395214.72960073,14228671.190002,56814.3996605128,16890207.753345,1156976,MN28
2292749,262813.666660,3685550.56960204,15530680.9100113,210958.168699499,18296365.4229457,1358635,MN33
1000735,112120.535232,1782291.42976336,7059280.14000649,166033.998857601,8314461.00032134,589920,MN34
587,59.528233,1176.18000653572,4031.00999999978,130.630001068115,4826.26999521255,255,QN07
178,30.345796,659.1499995552,2174,88.3399994373322,2484.60001754761,99,QN12
7593,1263.889911,26237.8999949545,121182.930002937,7665.389960289,143734.101490268,4442,QN25
13310,2112.621879,41895.5499936286,217478.780011673,13129.1399231143,257834.812905559,7981,QN30
4645,561.459758,11128.3699946478,42355.6300010681,1109.12999248505,48798.8801827431,2757,QN37
796,116.892282,2726.52000135183,10437.0800018311,254.659998893738,12206.6300325394,537,QN41
701,118.896487,2968.8699969817,12544.25,365.53000164032,14304.1701288223,448,QN45
344311,46346.388182,718663.430014512,2819995.84000542,16129.8699305579,3229883.17214348,208646,QN68
2254,344.315780,7252.73999944888,25924.8600006104,427.26999832131,29719.3400754929,1462,BK17
1250802,172663.447784,2858939.08997826,10783277.640004,24576.4898786172,12651444.0864745,734965,BK38
16588,2507.985295,49374.8299850579,171369.76,7687.15994577482,205636.250802765,9953,BK41
27043,4064.735066,73697.8400038406,263995.150005111,6611.67995476723,309537.980809936,16108,BK42
34565,5570.987560,88474.5300217886,334848.119995806,1476.61999416351,381377.750268672,20982,BK60
177692,21954.906764,334982.939949956,1319018.75999714,2575.49997735955,1563462.1409278,101613,BK78
4471,700.241904,11294.9499968961,44141,298.819999016821,50602.0800709724,2898,BK79
147,26.815511,672.620002143085,2552.6099999994,107.39999961853,2970.53002357483,106,BK99
432,60.615452,1354.38000026159,4646.5,107.299999237061,5414.06001853943,253,BX03
4925,658.976346,13801.7299906947,48782.4500007629,1262.75001003221,56225.3300714493,2939,BX29
3037,373.835993,5579.92999870144,22492.5099999998,220.109998703003,25226.6400258634,1743,BX35
877,113.332279,2657.42999697477,9336.50999999978,154.75,10767.2100279424,562,BX62
2859,423.570745,8906.78001200035,33734.9000015259,723.689994812012,38646.5401377678,1665,BX99
6683,674.103461,24422.2600130644,286238.290023396,10708.2099922597,335097.140148461,4835,EWR
273968,39904.823220,670286.220162805,2513460.40999771,45714.2597195003,2939688.56631089,161853,MN04
11904384,1386353.311971,17752776.6875868,78931850.2700229,1046736.89434225,93876721.9414289,6913294,MN15
11946045,1331890.375996,16850207.8074128,76218612.1000389,639727.755940033,90415345.4883481,7134984,MN31
8308939,927479.869908,13008192.8396381,55342048.6700149,729645.095211074,65914027.7192423,4931744,MN32
814,151.872289,3341.17000277527,11010.5600013733,623.689995765686,13198.4200429916,511,QN08
188,31.199966,687.50999557972,2423.5,60.2199993133545,2682.57001447678,94,QN15
35892,5537.085277,110732.250001818,425147.709997177,20497.5798958316,497170.573053837,22326,QN18
2908,389.738812,6981.25999239832,27560,727.469995498657,31792.9001731873,1649,QN19
136347,17919.536918,332355.900065523,1227753.95999975,48701.039739646,1428267.17485876,80322,QN28
19400,3743.352938,88394.589988729,344988.550005702,22737.2198553458,406719.075326232,10251,QN35
